PassengerId,Survived_pred,Survived_prob
892,0,0.1269543652055036
893,1,0.5566315909845025
894,0,0.25559352222205844
895,0,0.09681673784622527
896,1,0.5574222559260249
897,0,0.09684655026565837
898,1,0.6663780352022957
899,0,0.17927608326936198
900,1,0.7142173464130411
901,0,0.07305047872949763
902,0,0.09677611605110116
903,0,0.3760076910161784
904,1,0.8796570037344738
905,0,0.17900873578729098
906,1,0.8782973097363935
907,1,0.8358810622187633
908,0,0.255900643206118
909,0,0.15392054426895546
910,1,0.5567699314430941
911,1,0.7142168268904157
912,0,0.4712812440511304
913,0,0.09652610877671902
914,1,0.8925489268602432
915,1,0.5111761727794131
916,1,0.9326505441126256
917,0,0.08408601191240453
918,1,0.934942024089718
919,0,0.15392054426895546
920,0,0.3766477555553468
921,0,0.11790237512315363
922,0,0.17900873578729098
923,0,0.15732613858129155
924,1,0.5586609382862872
925,1,0.5590904773917493
926,0,0.47103209169971094
927,0,0.1539208757403792
928,1,0.5954767617763077
929,1,0.595566172100712
930,0,0.09686112820887752
931,0,0.09938134170194975
932,0,0.15440983856864615
933,0,0.3760858979537374
934,0,0.09677368992762905
935,1,0.776899404981969
936,1,0.8777377632540655
937,0,0.09677766286559349
938,1,0.5063781124169797
939,0,0.12694904546228616
940,1,0.9354676192760476
941,1,0.5966221918879868
942,0,0.3442440173355303
943,0,0.301237982500418
944,1,0.7184365824070191
945,1,0.855904918514267
946,0,0.3013076241981184
947,0,0.07247274599724925
948,0,0.09677611605110116
949,0,0.09676309613831892
950,0,0.0841607190773387
951,1,0.9419501405166119
952,0,0.09677611605110116
953,0,0.2022745043093824
954,0,0.09676839290353512
955,1,0.6663909422021114
956,0,0.4624437434904181
957,1,0.7777385957630935
958,1,0.6664117168284025
959,0,0.37834244131037337
960,1,0.5062020150308852
961,1,0.8907781745770521
962,1,0.6663943103760671
963,0,0.09677611605110116
964,1,0.5954585139924748
965,1,0.5060782990669296
966,1,0.9402411263164203
967,1,0.5338702260510291
968,0,0.09678428475248682
969,1,0.8577090589016699
970,0,0.20222561497529043
971,1,0.6663943103760671
972,0,0.13495615246194703
973,0,0.3667009300441197
974,0,0.3760076910161784
975,0,0.09677611605110116
976,0,0.2557112435041699
977,0,0.13490015746569065
978,1,0.6664117168284025
979,1,0.5954767617763077
980,1,0.6663943103760671
981,0,0.17874170016240148
982,1,0.5576633229882937
983,0,0.0967697171352885
984,1,0.8777017163957923
985,0,0.09678428475248682
986,1,0.5058176251282164
987,0,0.09677081890843824
988,1,0.8794376368343159
989,0,0.09677766286559349
990,1,0.595448178330637
991,0,0.09678428475248682
992,1,0.9243329494735687
993,0,0.17900873578729098
994,0,0.12694904546228616
995,0,0.0967697171352885
996,1,0.6809675226545199
997,0,0.0975538397187599
998,0,0.12695380098128295
999,0,0.12694904546228616
1000,0,0.09681938750724442
1001,0,0.20222561497529043
1002,0,0.3012395770512476
1003,1,0.6663982443817461
1004,1,0.9338161580903166
1005,1,0.6663314305043748
1006,1,0.8883239083750541
1007,0,0.13490015746569065
1008,0,0.15385840369631765
1009,1,0.5580818554508804
1010,1,0.5132751604152319
1011,1,0.7497073502637126
1012,1,0.77718813133397
1013,0,0.11039404429566298
1014,1,0.9244307313539031
1015,0,0.09674191166604557
1016,0,0.12694904546228616
1017,1,0.5966513611199881
1018,0,0.09677081890843824
1019,1,0.5949065550374593
1020,0,0.20222561497529043
1021,0,0.09678428475248682
1022,0,0.09678428475248682
1023,1,0.5061963344441879
1024,1,0.5980166896126407
1025,0,0.13433418865941044
1026,0,0.09677611605110116
1027,0,0.0967739124083059
1028,0,0.15392054426895546
1029,0,0.20222561497529043
1030,1,0.5954767617763077
1031,0,0.08561062381934605
1032,0,0.4055543605432834
1033,1,0.8993196265672222
1034,1,0.50200143840193
1035,0,0.20349960511128284
1036,0,0.3760858979537374
1037,0,0.06279716769309172
1038,0,0.37969212733522495
1039,0,0.09678428475248682
1040,0,0.3760858979537374
1041,0,0.17900873578729098
1042,1,0.9357183744890302
1043,0,0.1539734923924359
1044,0,0.09712408955911007
1045,1,0.5960800013473938
1046,0,0.05450630008038007
1047,0,0.0967577996319711
1048,1,0.9031082541830882
1049,1,0.595448178330637
1050,0,0.3760858979537374
1051,1,0.5963122266419882
1052,1,0.6663920604377477
1053,0,0.13495615246194703
1054,1,0.7769519205130245
1055,0,0.09672867347391749
1056,0,0.20222561497529043
1057,1,0.5588775864151577
1058,1,0.5095279850339598
1059,0,0.07347118623336818
1060,1,0.9336677444895353
1061,1,0.5956099625987402
1062,0,0.0967577996319711
1063,0,0.15392054426895546
1064,0,0.08405801225621722
1065,0,0.1539208757403792
1066,0,0.08487756714364386
1067,1,0.779618522010541
1068,1,0.7793841563451179
1069,0,0.4706835593577201
1070,1,0.779618522010541
1071,1,0.9357183744890302
1072,0,0.20222561497529043
1073,0,0.47487030658646073
1074,1,0.8777732548124906
1075,0,0.12694904546228616
1076,1,0.9320828912967949
1077,0,0.20251908330992618
1078,1,0.7777385957630935
1079,0,0.07239254086516202
1080,0,0.3006528786855461
1081,0,0.20222561497529043
1082,0,0.17900873578729098
1083,0,0.3760076910161784
1084,0,0.08408601191240453
1085,0,0.255900643206118
1086,0,0.20413883721109183
1087,0,0.0967739124083059
1088,1,0.5222415578266119
1089,1,0.5954366163035179
1090,0,0.201981300627031
1091,1,0.595485885569243
1092,1,0.6674376244026156
1093,0,0.09712120926227907
1094,0,0.4967215258744857
1095,1,0.7497073502637126
1096,0,0.201981300627031
1097,1,0.5057784964937749
1098,1,0.6663943103760671
1099,0,0.201981300627031
1100,1,0.9336677444895353
1101,0,0.09677611605110116
1102,0,0.0975538397187599
